ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1416329007.03896,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416329007.03896,pg_catalog,pg_db_role_setting,0,0,10212,0,0,0,0,0,0,0,0,0,27,10185,0,0,0,0
1416329007.03896,pg_catalog,pg_rowsecurity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_description,0,0,358,0,0,0,0,0,0,0,0,0,93,700,0,0,0,0
1416329007.03896,public,time_statistics,0,0,,,1,0,0,0,1,0,1,0,,,,,,
1416329007.03896,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_class,1244,279302,53717,48888,124,38,152,36,309,107,622,62824,500,112569,,,,
1416329007.03896,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,public,region,0,0,,,5,0,0,0,5,0,1,0,,,,,,
1416329007.03896,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_operator,0,0,16949,89444,0,0,0,0,0,0,462,61837,413,36722,,,,
1416329007.03896,pg_toast,pg_toast_12345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_attribute,220,1500,44559,101865,540,10,584,10,2470,415,1720,50159,409,93560,,,,
1416329007.03896,pg_catalog,pg_tablespace,0,0,1554,1554,0,0,0,0,0,0,49,1505,101,3013,,,,
1416329007.03896,pg_catalog,pg_statistic,0,0,12287,11915,85,222,151,197,0,203,1373,11131,150,26241,3026,11580,123,10348
1416329007.03896,pg_catalog,pg_aggregate,0,0,1183,1183,0,0,0,0,0,0,93,1090,211,1848,,,,
1416329007.03896,pg_catalog,pg_inherits,0,0,77,0,0,0,0,0,0,0,0,0,33,44,,,,
1416329007.03896,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_pltemplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_toast,pg_toast_2618,0,0,203,648,0,0,0,0,0,0,124,126,36,292,,,,
1416329007.03896,public,customer,0,0,,,0,0,0,0,0,0,0,0,,,,,,
1416329007.03896,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_toast,pg_toast_2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_toast,pg_toast_12330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_database,437,1712,8442,8442,0,0,0,0,0,0,19,8860,123,13419,,,,
1416329007.03896,information_schema,sql_sizing_profiles,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1416329007.03896,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_depend,0,0,3147,3400,537,0,598,0,6624,909,504,4026,745,8018,,,,
1416329007.03896,pg_catalog,pg_language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,public,part,0,0,,,0,0,0,0,0,0,0,0,,,,,,
1416329007.03896,pg_toast,pg_toast_12320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_amproc,40,80,9786,15457,0,0,0,0,0,0,60,9628,89,21876,,,,
1416329007.03896,pg_catalog,pg_collation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,public,nation,0,0,,,25,0,0,0,25,0,1,0,,,,,,
1416329007.03896,pg_catalog,pg_range,0,0,533,0,0,0,0,0,0,0,0,0,204,862,,,,
1416329007.03896,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_opclass,40,40,13424,149137,0,0,0,0,0,0,93,59359,207,16526,,,,
1416329007.03896,information_schema,sql_packages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1416329007.03896,pg_catalog,pg_rewrite,0,0,509,395,38,0,38,0,111,8,296,475,124,744,124,126,72,584
1416329007.03896,pg_toast,pg_toast_1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_seclabel,0,0,358,0,0,0,0,0,0,0,0,0,30,328,0,0,0,0
1416329007.03896,pg_toast,pg_toast_12335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416329007.03896,pg_catalog,pg_trigger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
