# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416329064;18361080;246163344;93.06;167860;43019364;207497324;76.03
axle;60;1416329124;16348572;248175852;93.82;167936;45032424;207492124;76.03
axle;60;1416329184;16343632;248180792;93.82;167960;45033900;207492124;76.03
axle;60;1416329244;16343648;248180776;93.82;167988;45035436;207492124;76.03
axle;60;1416329304;16343308;248181116;93.82;168032;45037384;207492124;76.03
axle;60;1416329364;9792988;254731436;96.30;168072;45042464;214977736;78.77
axle;60;1416329424;12127356;252397068;95.42;168104;45044568;211704520;77.57
axle;60;1416329484;12129220;252395204;95.41;168144;45046200;211704520;77.57
axle;60;1416329544;12124688;252399736;95.42;168172;45047612;211704520;77.57
axle;60;1416329604;13044200;251480224;95.07;168204;45049564;210949388;77.30
axle;60;1416329664;5548820;258975604;97.90;168240;45054660;218597108;80.10
axle;60;1416329724;8828376;255696048;96.66;168272;45058004;215144724;78.83
