# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416329064;112.04;81.97;54761.84;0.32;87031.53;0.00;0.00;0.00;0.00
axle;60;1416329124;0.13;49.42;49820.72;0.00;51285.08;0.00;0.00;0.00;0.00
axle;60;1416329184;0.00;22.86;13834.66;0.00;40264.04;0.00;0.00;0.00;0.00
axle;60;1416329244;0.00;20.51;4365.79;0.00;30963.67;0.00;0.00;0.00;0.00
axle;60;1416329304;0.00;26.54;4444.97;0.00;30578.81;0.00;0.00;0.00;0.00
axle;60;1416329364;0.00;54.03;23991.42;0.00;33439.30;0.00;0.00;0.00;0.00
axle;60;1416329424;0.00;42.87;2817.35;0.00;28154.68;0.00;0.00;0.00;0.00
axle;60;1416329484;0.07;30.21;219.79;0.00;3340.86;0.00;0.00;0.00;0.00
axle;60;1416329544;0.00;23.48;220.23;0.00;6793.55;0.00;0.00;0.00;0.00
axle;60;1416329604;0.00;30.72;8855.54;0.00;23996.78;0.00;0.00;0.00;0.00
axle;60;1416329664;0.00;39.24;42247.45;0.00;22251.10;0.00;0.00;0.00;0.00
axle;60;1416329724;0.00;80.35;321.51;0.00;32444.03;0.00;0.00;0.00;0.00
