# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416330506;sda;15.29;0.54;951.92;62.28;0.21;14.00;0.19;0.29
axle;60;1416330566;sda;6.80;4.41;844.53;124.78;0.03;4.06;0.19;0.13
axle;60;1416330626;sda;6.06;0.00;883.10;145.61;0.03;5.17;0.21;0.13
axle;60;1416330686;sda;8.29;0.00;980.95;118.33;0.05;5.88;0.19;0.15
axle;60;1416330746;sda;5.52;0.13;772.77;139.96;0.03;5.70;0.22;0.12
axle;60;1416330806;sda;5.74;0.00;844.07;146.98;0.03;4.95;0.21;0.12
axle;60;1416330866;sda;8.14;0.13;1051.56;129.25;0.04;5.50;0.20;0.16
axle;60;1416330926;sda;5.83;14.56;667.25;117.02;0.03;4.83;0.21;0.12
axle;60;1416330986;sda;6.54;0.13;844.98;129.22;0.03;4.76;0.19;0.13
axle;60;1416331046;sda;7.17;0.00;870.41;121.43;0.04;5.44;0.20;0.14
axle;60;1416331106;sda;6.26;0.13;782.91;125.12;0.03;5.26;0.21;0.13
axle;60;1416331166;sda;6.96;0.00;957.94;137.65;0.05;7.16;0.21;0.15
axle;60;1416331226;sda;2.39;0.00;149.99;62.88;0.00;0.67;0.08;0.02
axle;60;1416331286;sda;1.20;0.00;77.87;64.67;0.00;0.39;0.11;0.01
axle;60;1416331346;sda;1.10;0.00;82.51;74.79;0.00;0.00;0.00;0.00
axle;60;1416331406;sda;0.97;0.00;67.00;69.24;0.00;0.69;0.14;0.01
axle;60;1416331466;sda;1.22;0.00;89.94;73.75;0.00;0.05;0.05;0.01
